x,y,z
13.672506,0.0,4.203311
13.467098,0.0,-2.906559
14.594733,0.0,1.180526
13.934467,0.0,4.958774
13.017719,0.0,-2.953826
13.141528,0.0,-3.341063
11.525822,0.0,-2.969554
16.288867,0.0,3.606086
19.385755,0.0,1.46503
12.583865,0.0,4.650082
15.224509,0.0,-1.230456
15.286434,0.0,-1.433267
15.273965,0.0,0.726382
14.555569,0.0,-4.982633
11.57344,0.0,1.003186
17.630632,0.0,3.764781
15.031304,0.0,2.856475
18.916553,0.0,1.002879
14.742512,0.0,4.77651
18.192632,0.0,-4.027609
15.200947,0.0,-3.661219
17.538804,0.0,3.624088
17.269205,0.0,-0.761402
11.668696,0.0,-3.513062
18.836581,0.0,1.424398
18.986163,0.0,-0.31022
14.980288,0.0,2.974436
10.981978,0.0,2.840542
11.349435,0.0,-3.661061
19.125753,0.0,-3.848807
11.775561,0.0,1.685432
11.296201,0.0,-4.541867
12.896391,0.0,0.748129
14.880324,0.0,-0.724068
14.380666,0.0,-3.385317
14.030524,0.0,-4.277245
16.59165,0.0,0.704738
17.352941,0.0,2.259627
17.867865,0.0,1.040928
11.556283,0.0,-0.524421
18.489139,0.0,0.798119
14.893066,0.0,-1.671217
18.763906,0.0,-1.027494
12.896325,0.0,4.422015
11.964594,0.0,-2.35453
10.489333,0.0,-4.517692
10.714297,0.0,-3.217639
18.126967,0.0,4.265155
11.922331,0.0,4.482093
16.046964,0.0,-1.810534
18.934031,0.0,2.576899
19.916656,0.0,2.37595
18.726354,0.0,-3.500316
11.035374,0.0,-3.725243
17.44225,0.0,0.323334
12.068634,0.0,1.496453
15.132379,0.0,-4.770707
15.904511,0.0,-2.650996
12.113108,0.0,-0.955512
10.559203,0.0,4.508526
15.646421,0.0,3.191478
15.790123,0.0,1.877057
15.029533,0.0,4.863145
13.541946,0.0,0.578337
10.782747,0.0,-2.404825
12.106163,0.0,4.568718
15.332714,0.0,2.27613
19.312232,0.0,4.894709
19.124581,0.0,-0.388173
16.644604,0.0,-3.163123
15.651014,0.0,2.034841
10.094244,0.0,2.035799
19.753638,0.0,-3.579999
12.219694,0.0,-2.686759
10.508954,0.0,-4.440732
15.517414,0.0,-2.671573
19.150547,0.0,0.269849
19.645457,0.0,-2.107562
13.62651,0.0,-0.866418
18.550902,0.0,-2.393666
13.460022,0.0,1.056859
11.723201,0.0,-1.296402
17.723708,0.0,-3.154883
14.65198,0.0,2.951406
18.252389,0.0,-1.138847
14.281233,0.0,4.107389
19.630697,0.0,-2.543917
16.088404,0.0,1.614886
17.297798,0.0,4.164537
14.470633,0.0,-0.048145
19.627435,0.0,3.269551
13.509025,0.0,4.080294
17.282112,0.0,3.592283
16.222705,0.0,-4.196305
16.807247,0.0,3.635724
17.089142,0.0,3.343147
17.120218,0.0,3.0816
15.327865,0.0,4.88853
16.914396,0.0,-4.284384
19.435265,0.0,-4.782697
15.341424,0.0,0.40913
11.273334,0.0,1.437262
12.027245,0.0,1.998409
15.933671,0.0,2.891034
18.006682,0.0,1.88792
12.861195,0.0,1.231932
19.979318,0.0,1.798155
16.318714,0.0,0.094478
18.372112,0.0,-3.986784
15.132251,0.0,-1.985867
12.516255,0.0,-4.290965
15.437194,0.0,-0.955623
10.80366,0.0,-2.184465
19.240517,0.0,2.095445
14.457223,0.0,2.908101
17.275392,0.0,-0.17731
18.145704,0.0,-4.574531
14.623864,0.0,1.156431
16.304805,0.0,2.955794
10.873577,0.0,2.148339
15.40322,0.0,-0.021793
17.808877,0.0,2.296895
11.593573,0.0,1.053765
15.823782,0.0,-4.214831
10.930802,0.0,-3.192305
12.38176,0.0,0.833887
10.533351,0.0,1.543585
15.188596,0.0,-2.235763
11.323111,0.0,4.583288
16.472177,0.0,-0.407817
17.398333,0.0,-3.225053
15.459793,0.0,0.704117
13.966145,0.0,-1.867412
14.408801,0.0,2.94699
14.949583,0.0,-4.497256
11.532586,0.0,0.399262
19.620281,0.0,0.747431
14.280967,0.0,-3.129622
11.341848,0.0,-4.676408
18.571455,0.0,-2.411913
19.056498,0.0,2.223045
13.459956,0.0,1.300374
10.440451,0.0,-3.598912
13.182097,0.0,1.78509
15.44904,0.0,-2.85382
16.639649,0.0,-3.696262
15.742958,0.0,-0.977357
14.097728,0.0,-4.419756
11.963943,0.0,0.817759
12.969031,0.0,1.824901
19.090245,0.0,1.787106
15.063478,0.0,0.797845
13.784253,0.0,-1.536119
18.974736,0.0,4.875475
18.983245,0.0,-3.256257
16.943855,0.0,-3.864383
12.113778,0.0,-4.890153
13.830343,0.0,-1.800037
12.08222,0.0,4.981511
19.237763,0.0,4.519188
13.314684,0.0,-0.783834
19.975164,0.0,3.27644
17.271288,0.0,-2.974995
12.482583,0.0,1.839027
12.282641,0.0,-2.836463
19.23681,0.0,-0.058223
16.084386,0.0,3.822114
13.031856,0.0,-3.886397
19.724764,0.0,2.666856
10.404051,0.0,-2.379984
14.440977,0.0,-0.328166
13.685362,0.0,-4.519789
15.937656,0.0,-0.764174
19.82432,0.0,-1.694784
11.903629,0.0,-1.990536
19.908127,0.0,-1.480512
14.793569,0.0,1.569955
18.821248,0.0,-0.465026
13.977972,0.0,2.546344
17.476442,0.0,3.167019
19.23065,0.0,2.710574
11.406684,0.0,-2.091616
15.827953,0.0,-2.717971
17.236745,0.0,3.09529
10.668068,0.0,-4.865154
17.576315,0.0,1.715426
17.92871,0.0,-0.743221
13.601591,0.0,-1.93717
14.243905,0.0,-3.132158
11.521734,0.0,3.158062
19.670974,0.0,0.461234
11.071323,0.0,-3.744167
16.90898,0.0,3.555359
14.295894,0.0,1.705859
17.741708,0.0,3.249442
15.824518,0.0,-1.314505
14.602072,0.0,1.611663
18.322214,0.0,-4.927955
10.863442,0.0,3.315941
18.930839,0.0,-4.814542
12.516124,0.0,-0.295223
10.548822,0.0,0.016952
12.129262,0.0,3.391091
15.917932,0.0,2.234044
12.036357,0.0,-2.09955
15.607431,0.0,-2.530105
15.729919,0.0,1.018388
17.947429,0.0,2.541459
15.252682,0.0,-3.277929
17.634036,0.0,0.013162
14.780489,0.0,-3.690436
13.132444,0.0,0.762105
11.721087,0.0,2.223674
11.101149,0.0,-1.475746
18.156662,0.0,-4.331897
10.896859,0.0,-3.420521
16.202346,0.0,2.18195
11.151151,0.0,4.387406
16.710522,0.0,-4.606821
17.459505,0.0,1.055117
13.983748,0.0,4.003776
16.220539,0.0,-3.620894
15.608249,0.0,-4.853113
11.739378,0.0,1.195274
17.960658,0.0,-1.039095
19.500536,0.0,-0.977101
13.942318,0.0,-0.506826
14.314744,0.0,0.030434
16.282955,0.0,-2.507763
10.867843,0.0,-4.067516
19.248463,0.0,4.207196
17.804272,0.0,4.071035
14.293337,0.0,-2.388396
17.521979,0.0,-4.409222
15.522924,0.0,-3.81778
13.91412,0.0,-1.852314
16.065219,0.0,3.440594
11.618549,0.0,-0.082462
12.114278,0.0,-4.964527
17.194276,0.0,4.899475
10.37183,0.0,2.579278
17.226769,0.0,-2.125391
10.858955,0.0,1.00905
16.343879,0.0,-4.093021
19.025732,0.0,-2.269674
10.282091,0.0,-0.477883
13.878397,0.0,-2.506987
13.591647,0.0,-1.000312
19.11879,0.0,-0.027115
14.61666,0.0,-4.604081
14.807124,0.0,0.804229
16.370074,0.0,-2.738883
14.857569,0.0,2.135251
10.095393,0.0,0.432663
13.643067,0.0,2.765057
11.888503,0.0,-1.381805
10.307789,0.0,-3.459017
11.771603,0.0,-3.835283
15.474224,0.0,-1.849599
10.003958,0.0,3.458319
15.990908,0.0,3.109785
19.722371,0.0,-1.28852
17.77941,0.0,-3.437021
19.319658,0.0,-3.765595
12.260638,0.0,1.179684
18.527803,0.0,0.132349
15.25464,0.0,-2.12734
15.708289,0.0,2.374075
13.097894,0.0,-2.576216
12.870523,0.0,2.330537
16.089486,0.0,2.038544
10.968592,0.0,-2.803707
16.48928,0.0,-0.156927
