x,y,z
34.841417,-1.249271,-1.031309
25.383951,1.921481,-3.360521
25.203215,-1.410974,-3.420175
34.674017,1.775829,-3.414332
33.16534,-3.870481,-4.516593
27.703036,4.441166,-3.898206
32.936292,4.046997,4.289356
29.820344,-4.996771,-0.789651
27.305156,4.211629,-2.346102
26.087282,3.112979,4.651123
25.114941,-1.065925,-1.179377
27.404686,4.27368,4.850001
26.273387,-3.33352,2.933311
31.764581,-4.678275,-2.611268
25.887484,-2.843803,-3.276538
31.8718,-4.636417,-3.03488
31.782769,-4.671374,3.330427
25.309625,-1.73216,4.928896
32.000616,-4.582307,1.408341
34.770036,1.498918,3.99765
29.925885,4.999451,1.931676
25.235574,-1.516657,0.987765
27.690931,4.434885,3.635088
32.194811,-4.492528,0.492272
25.007119,-0.266717,-3.241437
25.508316,-2.196537,-2.568374
32.66476,-4.230728,-4.042626
28.457827,4.756228,-4.365161
31.624598,-4.728708,0.339796
25.070815,-0.83853,1.415245
25.568591,2.315733,-1.063072
27.0026,-4.001949,4.583836
33.939383,-3.079166,-3.539425
25.354302,-1.848646,1.656202
31.848784,4.645643,3.855368
27.341786,4.234844,4.144232
34.887503,1.054665,3.481664
33.849879,-3.190365,0.796705
32.292984,-4.443223,-1.771068
30.895293,-4.919192,-0.105075
25.69642,-2.545428,-2.073329
25.817681,-2.740111,-3.923788
34.436087,-2.306757,4.608056
33.006103,3.995415,2.48038
25.028442,0.532551,-4.089111
33.390407,-3.674934,-2.811264
34.998582,-0.119083,2.061399
32.202653,4.488688,-2.417862
34.314763,2.526424,-3.548102
25.438488,-2.047586,3.424822
25.521993,-2.224288,-4.872527
32.387146,4.393351,2.334996
26.740439,-3.791472,-3.125133
25.24614,-1.549457,4.103955
34.111687,2.845001,4.06024
25.315126,-1.746986,4.693799
33.392125,-3.673348,-2.435225
29.938848,4.999626,-3.056105
26.505381,3.57598,1.779758
34.92913,0.838853,-3.69874
27.699376,-4.439271,-1.71049
34.391075,-2.39133,-1.789533
28.497245,4.768829,0.625435
25.034829,-0.589131,4.420938
25.366858,1.879893,1.827108
25.126489,-1.117536,4.898195
26.117435,-3.150507,-1.362783
32.841874,-4.113849,1.661936
34.921921,-0.880165,1.82877
25.023239,-0.481508,-4.350809
29.173555,-4.931226,-3.174726
29.387342,-4.962323,-0.766513
33.598843,3.47107,-0.536261
25.473071,2.122949,0.473072
27.331634,-4.228454,3.076833
33.502881,3.567888,-4.663219
30.650451,4.957511,-3.169057
34.256163,-2.623942,3.236292
34.100493,2.861111,-2.293643
26.446365,-3.51734,3.920437
34.690661,-1.731386,1.669345
31.259415,-4.838789,4.909677
34.999949,0.022487,-0.490524
30.850009,-4.927219,-0.094022
33.841435,3.200528,1.433638
32.378985,-4.397775,3.767812
27.903664,-4.539314,1.252572
25.928427,2.902118,-3.616287
28.892713,-4.87585,1.346725
27.138794,4.100427,-4.258227
34.931038,0.827562,0.895796
33.764492,3.290684,2.473204
26.265477,3.324656,4.121026
34.896626,1.011462,-1.160553
25.133861,1.149212,1.626382
25.858162,-2.800925,1.713191
31.014771,4.895941,1.162553
34.501892,-2.175538,0.894949
27.981744,4.574565,0.475582
34.994528,-0.233854,2.707153
34.945953,-0.733177,-4.784902
25.123041,1.102392,-2.617317
34.595374,1.970417,2.287066
28.613407,4.80389,4.053937
33.307734,-3.74952,-2.735899
27.863473,4.520537,1.443612
25.891266,2.849263,-1.681669
28.872347,4.871181,1.005624
27.706723,-4.443071,1.067913
32.277838,4.451006,-3.926301
32.710016,-4.201882,2.233427
25.416344,-1.997522,-4.454481
34.410074,-2.356108,0.841413
25.460668,2.096298,3.465017
25.000424,-0.065118,0.271962
27.871548,4.524344,1.320489
30.413921,-4.982837,-4.774861
34.205537,2.70434,3.649736
33.82057,3.225406,1.247004
25.357083,-1.855619,-1.126367
29.879298,4.998543,-2.149014
31.019971,-4.89486,3.484345
34.974506,0.504269,0.896528
28.50545,4.771407,-4.335739
30.571735,4.967204,-2.522158
26.651213,-3.7129,-3.643744
27.472047,4.313868,-4.961215
